Year,State,CO2(Metric Tons)
2005,Connecticut,1665885.0
2005,Delaware,1100535.84
2005,District of Columbia,235930.0
2005,Florida,12527940.0
2005,Georgia,11662115.612903226
2005,Hawaii,1588240.5217391304
2005,Idaho,283171.15789473685
2005,Illinois,10500434.358974358
2005,Indiana,13368909.72972973
2005,Iowa,6538990.56
2005,Kansas,11775844.923076924
2005,Kentucky,15888456.869565217
2005,Louisiana,6783553.647058823
2005,Maine,836720.7058823529
2005,Maryland,3963954.470588235
2005,Massachusetts,3491938.709677419
2005,Michigan,7098344.0
2005,Minnesota,4052891.282051282
2005,Mississippi,4059644.16
2005,Missouri,12024127.851851853
2005,Montana,3785636.1904761903
2005,Nebraska,4412888.0
2005,Nevada,5821934.666666667
2005,New Hampshire,1267767.3846153845
2005,New Jersey,2747369.0322580645
2005,New Mexico,6654776.0
2005,New York,6423702.315789473
2005,North Carolina,8078735.157894737
2005,North Dakota,8284678.75
2005,Ohio,15247605.142857144
2005,Oklahoma,7193436.827586207
2005,Oregon,1293331.2857142857
2005,Pennsylvania,11388693.866666667
2005,Rhode Island,581335.7777777778
2005,South Carolina,5164696.125
2005,South Dakota,1118254.3333333333
2005,Tennessee,8084521.066666666
2005,Texas,24309967.81395349
2005,Utah,6604366.545454546
2005,Vermont,4571.0
2005,Virginia,5212552.6486486485
2005,Washington,1591037.1578947369
2005,West Virginia,13722235.04
2005,Wisconsin,5346513.1707317075
2005,Wyoming,8400608.0
2006,Alabama,10769184.375
2006,Alaska,771119.0
2006,Arizona,7715963.428571428
2006,Arkansas,4286111.851851852
2006,California,5194094.173913044
2006,Colorado,6285398.222222222
2006,Connecticut,1595500.4285714286
2006,Delaware,991537.0
2006,District of Columbia,100086.0
2006,Florida,12160228.19047619
2006,Georgia,12136008.666666666
2006,Hawaii,1589172.5217391304
2006,Idaho,185606.1052631579
2006,Illinois,10639413.05263158
2006,Indiana,13354233.297297297
2006,Iowa,6599244.16
2006,Kansas,12077992.666666666
2006,Kentucky,16389136.0
2006,Louisiana,6624299.636363637
2006,Maine,688155.6363636364
2006,Maryland,3524123.0857142857
2006,Massachusetts,3085277.1612903224
2006,Michigan,6819336.177777777
2006,Minnesota,3916213.5384615385
2006,Mississippi,4165613.44
2006,Missouri,11914332.296296297
2006,Montana,3695956.5714285714
2006,Nebraska,4608881.684210527
2006,Nevada,3722315.111111111
2006,New Hampshire,1096876.1538461538
2006,New Jersey,2671504.2666666666
2006,New Mexico,6106300.363636363
2006,New York,5142788.6
2006,North Carolina,7996087.567567567
2006,North Dakota,7888416.5
2006,Ohio,18009406.344827585
2006,Oklahoma,7561765.857142857
2006,Oregon,1059587.4074074074
2006,Pennsylvania,11312560.622222222
2006,Rhode Island,594379.5294117647
2006,South Carolina,5328500.258064516
2006,South Dakota,1194750.3333333333
2006,Tennessee,9207428.0
2006,Texas,23655809.272727273
2006,Utah,5669741.076923077
2006,Vermont,3422.0
2006,Virginia,4476111.7894736845
2006,Washington,1165874.6666666667
2006,West Virginia,12748785.185185185
2006,Wisconsin,4780210.536585365
2006,Wyoming,8360664.363636363
2007,Alabama,11049655.375
2007,Alaska,620433.4285714285
2007,Arizona,8685442.153846154
2007,Arkansas,4491317.777777778
2007,California,5373602.468085106
2007,Colorado,6455007.259259259
2007,Connecticut,1494772.857142857
